SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
SURYAROSNI,EQ, 19-Feb-2021,354.4,354.05,360.0,338.0,342.2,340.6,349.89,113564,397.35,6442,40533,35.69,141,20210219
BLISSGVS,EQ, 19-Feb-2021,178.65,178.65,180.9,175.5,178.6,178.3,178.51,327919,585.38,3253,78921,24.07,140,20210219
TVTODAY,EQ, 19-Feb-2021,266.35,266.35,270.0,262.05,263.7,263.15,266.69,91811,244.85,1858,52596,57.29,140,20210219
KAMDHENU,EQ, 19-Feb-2021,124.8,124.6,125.3,119.5,120.1,120.0,123.14,131242,161.61,1027,113310,86.34,139,20210219
BUTTERFLY,EQ, 19-Feb-2021,602.45,607.0,611.15,580.05,595.0,586.85,594.71,41251,245.33,2076,23288,56.45,138,20210219
NETFIT,EQ, 19-Feb-2021,25.84,26.5,26.5,25.52,25.82,25.78,25.72,735281,189.11,2114,537996,73.17,138,20210219
GOLDSHARE,EQ, 19-Feb-2021,4194.3,4184.4,4184.4,4151.0,4155.0,4156.4,4159.18,4613,191.86,1649,3294,71.41,137,20210219
DECCANCE,EQ, 19-Feb-2021,421.55,420.7,427.4,405.3,412.8,410.1,415.91,72613,302.0,3395,32939,45.36,136,20210219
PRSMJOHNSN,EQ, 19-Feb-2021,114.15,113.0,114.8,107.05,109.0,108.4,111.52,726945,810.66,12177,122746,16.89,136,20210219
SUDARSCHEM,EQ, 19-Feb-2021,500.1,501.0,504.7,496.5,502.0,500.6,500.85,52700,263.95,2254,27214,51.64,136,20210219
GATI,EQ, 19-Feb-2021,92.5,91.2,93.2,90.5,91.1,91.45,91.8,428267,393.15,4635,148082,34.58,135,20210219
KOLTEPATIL,EQ, 19-Feb-2021,249.55,249.65,252.5,242.2,244.0,243.55,246.89,103067,254.46,2362,54986,53.35,135,20210219
KCP,EQ, 19-Feb-2021,75.2,75.45,76.15,74.1,75.45,75.35,75.05,283077,212.44,1827,178897,63.2,134,20210219
GUJALKALI,EQ, 19-Feb-2021,311.6,313.0,316.05,309.1,310.9,311.5,312.1,97748,305.07,2235,42644,43.63,133,20210219
ERIS,EQ, 19-Feb-2021,577.05,577.75,582.2,565.4,568.0,569.05,573.83,43787,251.26,4694,23217,53.02,133,20210219
NFL,EQ, 19-Feb-2021,39.9,40.0,40.4,39.1,39.2,39.3,39.8,1266239,504.0,3904,333417,26.33,132,20210219
NILKAMAL,EQ, 19-Feb-2021,1861.05,1862.0,1881.1,1801.45,1807.05,1813.45,1836.1,17931,329.23,2271,7158,39.92,131,20210219
AARTISURF,EQ, 19-Feb-2021,897.65,908.0,942.5,885.9,930.0,925.75,929.78,32620,303.29,2579,14101,43.23,131,20210219
SANDHAR,EQ, 19-Feb-2021,254.55,259.0,259.0,246.05,252.5,251.8,251.94,74557,187.84,3222,51811,69.49,130,20210219
COSMOFILMS,EQ, 19-Feb-2021,501.05,501.9,501.9,485.0,494.55,489.2,490.76,51886,254.64,2368,26654,51.37,130,20210219
NUCLEUS,EQ, 19-Feb-2021,543.8,548.15,550.4,530.0,535.0,535.4,539.02,41726,224.91,2412,24058,57.66,129,20210219
KOKUYOCMLN,EQ, 19-Feb-2021,61.1,61.1,64.0,60.5,62.4,62.45,62.58,521374,326.28,4469,206321,39.57,129,20210219
GOKEX,EQ, 19-Feb-2021,80.7,82.3,87.8,80.7,81.15,81.5,83.38,504141,420.34,4347,154031,30.55,128,20210219
OPTIEMUS,EQ, 19-Feb-2021,128.2,127.25,134.6,125.0,134.6,134.6,133.53,156625,209.14,1289,95508,60.98,127,20210219
JAGSNPHARM,EQ, 19-Feb-2021,89.7,89.0,90.95,82.75,83.85,83.9,87.38,454467,397.1,6949,146260,32.18,127,20210219
N100,EQ, 19-Feb-2021,977.71,979.9,979.98,971.1,979.98,978.97,975.54,17298,168.75,1440,12984,75.06,126,20210219
ASTRAMICRO,EQ, 19-Feb-2021,117.8,118.2,118.6,114.7,115.45,115.65,116.16,196090,227.77,3487,109178,55.68,126,20210219
VINYLINDIA,EQ, 19-Feb-2021,131.9,131.9,132.0,125.25,126.55,127.05,128.3,183275,235.13,3233,98209,53.59,126,20210219
SELAN,EQ, 19-Feb-2021,132.9,132.9,138.8,132.9,134.1,134.3,135.21,226440,306.16,3010,92646,40.91,125,20210219
MAXVIL,EQ, 19-Feb-2021,54.55,54.0,56.9,51.8,53.15,52.9,54.55,379819,207.18,2490,226299,59.58,123,20210219
PARAGMILK,EQ, 19-Feb-2021,109.2,109.25,110.2,107.1,108.0,107.9,108.6,252030,273.7,2921,113740,45.13,123,20210219
IGARASHI,EQ, 19-Feb-2021,317.65,320.2,324.45,315.5,318.0,317.8,319.48,83220,265.87,2552,38241,45.95,122,20210219
SAREGAMA,EQ, 19-Feb-2021,1070.3,1078.0,1083.25,1031.0,1049.7,1044.2,1046.43,54267,567.87,5373,11623,21.42,121,20210219
SMSPHARMA,EQ, 19-Feb-2021,129.25,129.0,129.0,124.5,125.45,125.9,126.67,127601,161.63,1379,94205,73.83,119,20210219
SUNTECK,EQ, 19-Feb-2021,359.2,360.9,363.1,344.5,348.8,348.6,354.47,156212,553.72,4134,33363,21.36,118,20210219
SUBROS,EQ, 19-Feb-2021,343.65,343.0,343.0,328.5,331.75,330.75,333.28,66859,222.83,3694,35295,52.79,117,20210219
