"SYMBOL","DATE1","PREV_CLOSE","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","TURNOVER_LACS","NO_OF_TRADES","DELIV_QTY","DELIV_PER","DELIV_LACS"
"HINDPETRO"," 17-Feb-2021","225.65","234.45","231.74","11934678","27657.83","89734","5662085","47.44","13121"
"EICHERMOT"," 17-Feb-2021","2726.95","2695.5","2711.81","1491311","40441.55","78348","478747","32.1","12982"
"APLAPOLLO"," 17-Feb-2021","958.1","976.15","975.18","1501038","14637.79","8898","1308916","87.2","12764"
"ZEEL"," 17-Feb-2021","206.1","214.95","212.43","24935346","52971.1","139357","5898676","23.66","12530"
"BANKINDIA"," 17-Feb-2021","70.6","84.7","81.47","105678632","86099.19","287472","14866307","14.07","12111"
"PETRONET"," 17-Feb-2021","242.8","240.3","242.02","6758811","16357.93","27175","4934932","73.01","11943"
"AMBUJACEM"," 17-Feb-2021","284.05","286.65","287.22","10058896","28891.61","58094","4061841","40.38","11666"
"TITAN"," 17-Feb-2021","1471.85","1460.4","1469.52","2096959","30815.23","66724","791355","37.74","11629"
"APOLLOHOSP"," 17-Feb-2021","3202.75","3235.0","3235.41","2081001","67328.91","97143","358859","17.24","11610"
"M&M"," 17-Feb-2021","912.2","914.95","913.91","3903522","35674.86","75200","1251933","32.07","11441"
"BANDHANBNK"," 17-Feb-2021","350.15","348.25","349.01","10556444","36842.87","108209","3263979","30.92","11391"
"TATACONSUM"," 17-Feb-2021","628.35","632.15","633.9","8556599","54240.49","140067","1735091","20.28","10998"
"ICICIBANK"," 18-Feb-2021","657.35","644.65","644.05","27845347","179339.07","327130","13603206","48.85","87611"
"AXISBANK"," 18-Feb-2021","777.75","777.0","774.1","19685663","152386.31","213912","9489649","48.21","73459"
"SBIN"," 18-Feb-2021","411.75","415.2","419.02","67154539","281388.2","583049","15846238","23.6","66398"
"TCS"," 18-Feb-2021","3073.1","3057.35","3057.94","4189909","128125.1","176370","2042317","48.74","62452"
"BHARTIARTL"," 18-Feb-2021","593.85","589.05","591.31","21784559","128813.87","225068","10360959","47.56","61265"
"RELIANCE"," 18-Feb-2021","2083.25","2067.7","2085.18","8605531","179440.45","228157","2460456","28.59","51304"
"HINDUNILVR"," 18-Feb-2021","2163.9","2146.85","2156.51","3205806","69133.46","201161","2319377","72.35","50017"
"INFY"," 18-Feb-2021","1281.3","1292.45","1291.86","6437551","83164.46","178755","3406927","52.92","44012"
"BANKBARODA"," 18-Feb-2021","84.2","95.65","92.51","256891275","237642.29","530075","46472045","18.09","42991"
"HDFCBANK"," 18-Feb-2021","1586.5","1554.3","1570.9","7360280","115622.62","260135","2557293","34.74","40172"
"HDFC"," 18-Feb-2021","2805.35","2745.15","2758.03","2937262","81010.52","131354","1449307","49.34","39972"
"KOTAKBANK"," 18-Feb-2021","1989.45","1945.45","1952.63","3538208","69087.97","98738","2009851","56.8","39244"
"ADANIGREEN"," 18-Feb-2021","1104.25","1109.5","1102.7","5456103","60164.64","57422","3194156","58.54","35221"
"TATAMOTORS"," 18-Feb-2021","330.15","323.85","327.39","49204247","161089.58","305338","10654511","21.65","34881"
