"SYMBOL","DATE1","PREV_CLOSE","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","TURNOVER_LACS","NO_OF_TRADES","DELIV_QTY","DELIV_PER","DELIV_LACS"
"KREBSBIO"," 04-May-2021","129.7","121.15","124.15","46760","58.05","790","38876","83.14","48"
"KANSAINER"," 04-May-2021","561.75","571.0","569.07","530537","3019.13","13610","438288","82.61","2494"
"PRESTIGE"," 04-May-2021","266.65","267.25","268.75","487976","1311.44","6988","401419","82.26","1078"
"SUULD"," 04-May-2021","256.65","269.45","268.56","24709","66.36","252","20194","81.73","54"
"TIPSINDLTD"," 04-May-2021","581.0","605.35","600.97","15572","93.58","545","12634","81.13","75"
"CUB"," 04-May-2021","169.55","166.95","169.46","4528692","7674.44","10415","3653779","80.68","6191"
"PALREDTEC"," 04-May-2021","137.35","139.05","140.93","16188","22.81","281","12890","79.63","18"
"GRSE"," 04-May-2021","174.2","171.85","173.6","211586","367.31","9519","166693","78.78","289"
"PRECOT"," 04-May-2021","121.75","121.4","124.48","20497","25.51","241","16048","78.29","19"
"ALLSEC"," 04-May-2021","346.5","348.95","350.08","47581","166.57","1145","37027","77.82","129"
"VTL"," 04-May-2021","1189.85","1197.55","1207.89","180475","2179.94","6575","140429","77.81","1696"
"MAN50ETF"," 04-May-2021","149.5","148.1","148.33","49903","74.02","141","38243","76.63","56"
"GREENPANEL"," 04-May-2021","235.5","224.3","232.93","380054","885.27","5689","290865","76.53","677"
"LUMAXTECH"," 04-May-2021","143.3","134.4","137.89","452586","624.07","64241","346073","76.47","477"
"SETFNIF50"," 04-May-2021","148.36","147.17","148.27","203313","301.46","1583","155227","76.35","230"
"TANLA"," 04-May-2021","877.85","865.05","874.37","112536","983.98","4051","85920","76.35","751"
"REPCOHOME"," 04-May-2021","329.75","340.15","335.73","241989","812.43","4445","184492","76.24","619"
"HERITGFOOD"," 04-May-2021","362.5","362.45","363.53","314608","1143.7","4394","239794","76.22","871"
"ICICILOVOL"," 04-May-2021","118.37","117.72","117.84","171044","201.56","733","130114","76.07","153"
"GLAXO"," 04-May-2021","1459.05","1457.7","1457.73","38754","564.93","2367","29423","75.92","428"
"LGBBROSLTD"," 04-May-2021","300.85","293.2","297.61","52701","156.84","2773","39869","75.65","118"
"ALKEM"," 04-May-2021","2762.0","2798.6","2793.02","315783","8819.89","10010","238725","75.6","6667"
"REPL"," 04-May-2021","208.3","206.05","210.71","14146","29.81","402","10686","75.54","22"
"OFSS"," 04-May-2021","3480.05","3473.3","3485.93","85717","2988.04","5254","64668","75.44","2254"
"KOTAKGOLD"," 04-May-2021","410.65","411.55","412.6","42326","174.64","834","31925","75.43","131"
"SFL"," 04-May-2021","2035.85","2039.5","2029.53","20647","419.04","3272","15485","75.0","314"
"APLAPOLLO"," 04-May-2021","1356.0","1316.5","1342.64","184701","2479.88","7901","137548","74.47","1846"
"NAHARSPING"," 04-May-2021","110.0","105.35","109.74","74187","81.42","763","55129","74.31","60"
"SPAL"," 04-May-2021","166.9","172.7","171.52","97760","167.68","1909","72622","74.29","124"
"SHANTIGEAR"," 04-May-2021","140.4","138.05","141.03","96856","136.6","1204","71916","74.25","101"
"MAGMA"," 05-May-2021","122.55","128.65","128.65","459678","591.38","1201","459678","100.0","591"
